	Sample_1	Sample_2
ABCD1	3.88453865	3.955851481
ABCD2	1.494796834	0.401371094
ABCD3	3.152215377	2.922352994
ABCD4	2.486467272	2.394667147
ABCE1	3.255327031	3.48214856
ABCF1	2.953611742	3.099584463
ABCF2	2.48065677	2.07195333
ABCF3	3.31074386	3.257004236
ABCG1	2.226750216	3.663319142
ABCG2	0.903665576	0.94947736
ABHD1	1.199686226	0.227610495
ABHD10	3.310735786	3.232572591
ABHD11	3.282132219	3.535325558
ABHD12	3.611489018	4.382022919
ABHD12B	0.267280406	0
ABHD13	2.128399447	2.695288729
ABHD14A	2.66513565	2.720176894
ABHD14B	3.640220359	3.338940151
ABHD15	2.490011446	3.204277993
ABHD15-AS1	2.938991222	2.614237146
ABHD16B	2.318994216	3.051176353
ABHD17A	4.308842381	3.835495581
ABHD17B	1.923446984	2.753417663
ABHD17C	2.845914897	2.632816614
ABHD18	1.769349201	1.958090454
ABHD2	2.512004229	3.691675911
ABHD3	1.810296376	2.596396034
ABHD4	3.844590901	2.83060318
ABHD5	2.228558149	2.65912162
ABHD6	2.225481623	2.332132652
ABHD8	4.071785927	3.211267798
ABI1	3.382059351	4.082977085
ABI2	2.666143625	2.289742902
ABI3	2.304806109	3.411107435
ABI3BP	2.197495685	2.376692555
ABITRAM	2.76004621	2.829384216
ABL1	3.925418898	3.308630841
ABL2	1.445023453	2.325908476
ABLIM1	2.307586185	2.717376172
ABLIM2	1.500236732	0.407997518
ABLIM3	2.903359015	1.797850812
ABO	0.107765722	0
ABR	1.628220148	2.614879404
ABRACL	3.946896261	4.366927698
ABRAXAS1	1.788562758	2.049397545
ABRAXAS2	2.871187814	2.953432889
ABT1	3.262415849	3.434228217
ABTB1	3.500994661	2.892578317
ABTB2	1.731996445	0.849192258
ACAA1	3.222782156	3.010495155
ACAA2	2.205815032	3.165477995
ACACA	1.330835093	1.660111114
ACACB	2.202389881	1.210692089
ACAD10	1.995058111	1.930728761
ACAD11	0.266026059	0.533794164
ACAD8	2.187315322	1.683274606
ACAD9	2.453948331	2.205004934
ACADL	0.693873898	0
ACADM	1.970677895	2.418057223
ACADS	3.183992897	3.466175112
ACADSB	2.501981391	2.501441284
ACADVL	5.635228224	5.000975466
ACAN	1.092057444	0.397390706
ACAP1	1.610028941	2.084113527
ACAP2	2.09502016	2.864734064
ACAP3	3.535493364	2.873594722
ACAT1	2.850657735	2.903617148
ACAT2	3.687461997	3.539920742
ACBD3	3.467111667	3.831510064
ACBD3-AS1	2.857659633	3.473339514
ACBD4	3.10661317	1.967187411
ACBD5	1.657202098	2.383783904
ACBD6	2.716447363	2.211871764
ACBD7	0.664642201	1.229508973
ACCS	2.516704627	1.843459102
ACD	3.123220743	2.695641567
ACE	0.742046413	2.767906399
ACE2	0	0.332833936
ACER2	0.768532782	3.656228864
ACER3	1.643053831	1.939454808
ACHE	2.343031568	0.897064506
ACIN1	4.00152062	3.778585453
ACKR1	4.293727562	0.445917884
ACKR2	0.049817265	0.37883111
ACKR3	4.317045994	3.00683395
ACKR4	1.634611826	1.550409226
ACLY	3.689169263	3.924931431
ACMSD	0.268540402	0.151341831
ACO1	2.846307205	2.982544791
ACO2	3.504482664	3.464808708
ACOT1	2.760309454	2.467402262
ACOT11	2.621760282	1.397064782
ACOT13	3.102915839	3.177784973
ACOT2	3.886396257	3.713670278
ACOT4	1.799197267	1.982429616
ACOT7	3.873960655	3.188233456
ACOT8	3.127216961	2.585121683
ACOT9	3.060823903	2.67441349
ACOX1	2.817513277	3.133694531
ACOX2	3.198272982	1.188737058
ACOX3	3.045191124	2.541016082
ACOXL	1.511496913	0.468485105
ACOXL-AS1	0	0
ACP1	3.50798388	3.622008174
ACP2	3.264822783	4.840977064
ACP3	0.330000803	1.156069416
ACP5	2.775590268	6.660147756
ACP6	1.434488104	1.430854498
ACP7	1.191039817	0.177630636
ACRBP	0	1.484892678
ACSBG1	2.747163758	2.684610925
ACSF2	3.129643074	2.116023064
ACSF3	1.746743209	1.85303291
ACSL1	3.122816134	4.863409314
ACSL3	2.512091067	3.095980438
ACSL4	2.500460174	3.389882916
ACSL5	2.495128985	3.291679846
ACSM1	0.772364371	0.143637306
ACSM3	1.265204204	1.379844468
ACSM6	0	0
ACSS1	2.616772853	2.197190736
ACSS2	3.153850754	2.984300028
ACSS3	0.978858456	0.22181973
ACTA1	3.886321692	1.21219578
ACTA2	8.696985164	4.221760504
ACTA2-AS1	8.161212854	3.579493955
ACTB	8.728793625	7.810071814
ACTC1	4.580639781	0
ACTG1	7.318396574	7.552152773
ACTG1P10	0.415752608	0
ACTG1P17	0.235955324	0
ACTG1P25	0.307837612	0
ACTG2	7.793857839	2.751894817
ACTL10	1.918965789	1.335896448
ACTL6A	3.09898217	3.107912949
ACTN1	5.293692491	3.377382738
ACTN2	1.781947634	0.123690515
ACTN4	4.856800145	4.259786097
ACTR10	3.594237065	3.264270484
ACTR1A	4.497472649	4.006007836
ACTR1B	4.079477819	4.099592293
ACTR2	4.667441328	5.397864006
ACTR3	3.763627934	4.123303764
ACTR3B	1.400094455	1.127288257
ACTR3C	0.84943842	1.111197324
ACTR5	2.5428835	2.487814137
ACTR6	2.671259917	2.527502178
ACTR8	2.55259522	2.765125344
ACTRT3	1.179627472	1.623770261
ACVR1	2.696543495	2.354141513
ACVR1B	2.576449029	3.049520209
ACVR1C	0	0
ACVR2A	2.391183981	1.657115628
ACVR2B	0.869255291	1.181903121
ACVR2B-AS1	0.845712533	1.48358225
ACVRL1	2.362086039	2.880167613
ACY1	0.211879261	0.426571698
ACY3	1.293214907	0.35878329
ACYP1	2.660444139	1.845757364
ACYP2	2.213371873	1.614022399
ADA	2.223612229	2.417371638
ADA2	2.56121724	4.552091495
ADAD2	0.614105874	0.876858859
ADAL	1.189669512	1.238611631
ADAM10	2.442962437	3.325722931
ADAM11	2.126807288	0.62088429
ADAM12	1.322198596	1.68101887
ADAM15	4.18708157	3.838415932
ADAM17	2.118426591	2.819853384
ADAM19	3.220369447	2.073278286
ADAM20P1	0.395827615	0.180764719
ADAM22	2.313593983	1.218177458
ADAM23	0.814837865	0.497533243
ADAM28	0.94442934	2.755716054
ADAM32	0.26639786	0
ADAM33	4.365418181	0.20555216
ADAM8	2.820201353	5.212008026
ADAM9	1.350452758	3.193712661
ADAMDEC1	1.514291508	5.5041248
ADAMTS1	4.216160625	3.167455484
ADAMTS10	3.488936206	1.062236686
ADAMTS12	1.650623865	0.876088524
ADAMTS13	1.730181059	0.530464344
ADAMTS14	1.28939192	1.622599969
ADAMTS15	1.293855949	0.29625758
ADAMTS16	0.322477833	0.024917442
ADAMTS17	0.323727571	0
ADAMTS19	1.360078245	0.727520388
ADAMTS2	2.216028122	2.44463453
ADAMTS20	0	0.997122558
ADAMTS3	0.758163108	0.291011104
ADAMTS4	1.332933465	0.827594423
ADAMTS5	1.837952096	0.464234655
ADAMTS6	1.352073983	0.622483797
ADAMTS7	2.149813597	1.87612711
ADAMTS7P1	0	0
ADAMTS7P3	0	0.797621632
ADAMTS8	2.331574305	0.223188753
ADAMTS9	2.206306051	1.172474355
ADAMTS9-AS1	2.063024599	0.119328188
ADAMTS9-AS2	0.565871527	0
ADAMTSL1	0.527590233	0.293450475
ADAMTSL2	2.269671707	0.490154906
ADAMTSL3	0.870046312	0.26495805
ADAMTSL4	2.738291848	2.521981444
ADAMTSL4-AS1	3.000131486	2.615567835
ADAMTSL4-AS2	2.042540096	2.531087698
ADAMTSL5	1.946995639	0.762610372
ADAP1	2.029477121	1.264660346
ADAP2	1.889341828	3.67230517
ADAR	3.571529575	4.396744631
ADARB1	2.251958966	1.294642127
ADAT1	2.064758444	2.328302007
ADAT2	1.904460233	1.50734177
ADAT3	2.409752712	2.355726207
ADCK1	1.852296583	1.47102692
ADCK2	2.877475288	3.480866033
ADCK5	3.564660056	2.669526309
ADCY1	0.71216723	0.091052927
ADCY10P1	0.673470706	0.886766939
ADCY2	1.223655934	0.049177235
ADCY3	3.110247772	3.994443593
ADCY4	1.665234659	0.426429887
ADCY5	2.872959721	0.017868206
ADCY6	2.888893925	1.814740961
ADCY7	1.922883852	3.104895697
ADCY9	2.740354224	1.653125432
ADD1	4.131069635	3.414288683
ADD2	0.143275041	0.151360301
ADD3	2.668170226	3.30142173
ADD3-AS1	0.129396258	0.397751597
ADGRA2	5.920996527	2.614057243
ADGRA3	2.747628892	1.817961593
ADGRB1	1.132755037	0.544615803
ADGRB2	2.459379334	2.206816045
ADGRB3	0.937050016	2.046713789
ADGRD1	1.308395691	0.149119146
ADGRE1	0.140168327	0.671775398
ADGRE2	0.778367705	2.617462572
ADGRE4P	0.224689886	1.804653809
ADGRE5	3.614800952	4.076039425
ADGRF1	0.959477219	2.57452682
ADGRF3	0.327346382	0.627554455
ADGRF4	1.344805025	1.801757918
ADGRF5	2.152340722	1.646851174
ADGRG1	2.627873129	3.210983751
ADGRG2	0.07915691	0.014458938
ADGRG3	0	0.803220136
ADGRG5	0.368683509	1.197603338
ADGRG6	1.873848376	2.344457699
ADGRL1	1.862295163	1.245601504
ADGRL1-AS1	1.327725325	0.743316708
ADGRL2	1.92947801	0.621718314
ADGRL3	1.755148374	1.769361292
ADGRL4	1.872970724	1.28158907
ADGRV1	0.101830827	0.9422602
ADH1A	1.216436695	0.064199329
ADH1B	2.821915932	0.242711342
ADH1C	0.882730312	1.2896379
ADH5	4.704487422	4.152989979
ADH6	0.97366118	0.362526722
ADH7	0	0.228510978
ADHFE1	1.31493699	0.233289115
ADI1	3.050309653	2.795650342
ADIPOR1	4.245699321	4.784212473
ADIPOR2	0.859986557	1.816434944
ADIRF	5.928400543	6.981642696
ADIRF-AS1	2.077795288	2.582052205
ADK	2.542018898	2.791600551
ADM	3.048902157	5.149099973
ADM2	0.32941082	1.436878445
ADM5	2.970731394	0.2297706
ADNP	3.354089017	3.269113881
ADNP-AS1	1.924104007	1.934804708
ADNP2	2.079520604	2.853205029
ADO	3.291622888	3.234438096
ADORA1	0.692236593	0.100649116
ADORA2A-AS1	0.484079024	0.611956028
ADORA2B	2.922878256	2.165503793
ADORA3	1.728115292	2.857077609
ADPGK	3.078851839	4.042760408
ADPGK-AS1	0.326841822	1.696062235
ADPRH	2.269226942	2.432322215
ADPRHL1	1.566094582	0.026436003
ADPRM	2.426924389	2.220713384
ADPRS	4.31054915	3.966277048
ADRA1B	0.724382357	0
ADRA1D	1.530559294	0.524375478
ADRA2A	2.435819221	1.154899385
ADRA2B	0.373455402	0
ADRA2C	1.735480937	0.433792001
ADRB1	0.312679356	0.092899956
ADRB2	0.677940178	2.803689872
ADRM1	5.079084375	4.642091289
ADSL	0.733565252	0.656707855
ADSS1	1.875236431	2.650535469
ADSS2	3.30987193	3.519213549
ADTRP	2.207226046	1.376439549
AEBP1	5.621896006	3.441506533
AEBP2	2.766096426	2.576599422
AEN	2.366535447	2.080092645
AFAP1	2.880122318	1.755212631
AFAP1-AS1	2.613802651	2.217652295
AFAP1L1	1.523455446	1.888287959
AFAP1L2	1.914143905	0.94944912
AFDN	2.134659241	2.427583109
AFDN-DT	0	0.068687384
AFF1	2.663218811	3.153556714
AFF2	0.057089991	0.144801642
AFF3	1.57256024	0.098610199
AFF4	2.924609181	3.239504241
AFG1L	0.897061206	0.774182204
AFG3L1P	1.755052954	1.491824589
AFG3L2	3.263185675	3.376595364
AFMID	2.427843616	2.51486099
AFTPH	2.82506487	3.332559769
AGA	2.70255545	2.606357042
AGAP1	1.83986038	1.589359087
AGAP10P	0.961170711	0.115428484
AGAP12P	0.823408583	0
AGAP14P	0.666643648	0.134196703
AGAP2	1.804464923	1.828035202
AGAP2-AS1	3.120626191	2.647318145
AGAP3	3.408652229	3.689886062
AGAP4	2.540362504	1.694707755
AGAP6	0.279743873	0.233807687
AGAP7P	1.291277595	0.35797884
AGAP9	2.880580484	1.973686933
AGBL2	0.266347451	0.195429127
AGBL3	0.511586201	0.233630771
AGBL5	3.696411325	3.223201339
AGBL5-IT1	1.969928474	0.362112634
AGER	3.18294786	0.886159511
AGFG1	2.637730115	3.355807726
AGFG2	2.558705857	2.073867007
AGGF1	2.12481332	2.546224837
AGK	0.688503013	1.292339065
AGL	3.128101483	2.447075398
AGMAT	0.665857279	0.453329726
AGMO	0	0.455646592
AGO1	2.43455508	2.516460174
AGO2	2.260544993	2.294949062
AGO3	1.721836302	1.319437997
AGO4	2.544826389	2.898018316
AGPAT1	3.065867787	2.566628023
AGPAT2	4.444825501	4.579762284
AGPAT3	2.808244068	3.275829993
AGPAT4	1.646229179	2.122028413
AGPAT5	0.590566377	1.407021644
AGPS	2.382217813	2.469398866
AGR2	3.358563943	6.063429497
AGR3	0	0.931991765
AGRN	3.43770282	3.849181402
AGT	3.456434673	1.701710828
AGTPBP1	1.809972545	2.676744991
AGTR1	1.780280226	0
AGTRAP	3.833869215	3.842099562
AHCTF1	2.701519134	2.939881868
AHCY	4.215304402	4.056858112
AHCYL1	4.040128926	4.068956256
AHCYL2	1.516955368	2.175694343
AHDC1	2.943556195	2.883904045
AHI1	1.166617293	0.999978031
AHNAK	4.623064128	4.896829159
AHNAK2	2.567912984	1.380317076
AHR	4.022109561	4.788767111
AHSA1	4.462829582	3.931736724
AHSA2P	3.959488181	3.205990413
AIDA	3.646303251	3.530370296
AIF1	3.55190808	5.055607279
AIF1L	1.830463922	1.376012679
AIFM1	1.7115282	2.256889783
AIFM2	2.938937427	2.906052239
AIFM3	1.378561026	0.428096725
AIG1	3.001705541	2.490824389
AIM2	1.417126728	2.834625976
AIMP1	2.636807677	2.484323945
AIMP2	3.786460021	3.364473009
AIP	4.39228061	3.492662085
AJAP1	0.115503063	0
AJM1	3.392313042	1.50558746
AJUBA	2.179635235	2.546606881
AK1	2.267809082	0.677942863
AK2	3.281457863	2.966683843
AK3	3.885423825	3.80795355
AK4	3.639174108	2.372223524
AK4P1	0.6043345	1.45906282
AK5	0.337470377	0.704059045
AK6	1.972739348	2.135991825
AK7	0.106083471	0.057665393
AK8	1.376622184	0.432857233
AK9	0.789041213	0.871930654
AKAP1	3.570885677	2.973488671
AKAP1-DT	1.530820194	0.810364884
AKAP10	2.824313664	2.76744826
AKAP11	2.829361347	2.888336763
AKAP12	3.322481627	1.360854423
AKAP13	2.939070998	2.830409733
AKAP3	0.861671781	0.183508084
AKAP5	0.808137404	1.074939529
AKAP6	1.679272592	0.589118263
AKAP7	1.495394262	1.706376898
AKAP8	2.800456208	2.729504725
AKAP8L	3.93817168	2.662590675
AKAP9	1.649051015	2.078246374
AKIP1	3.236059787	2.991163749
AKIRIN1	4.435785488	4.02297392
AKIRIN2	3.760960293	4.346145293
AKNA	2.090630376	2.839248523
AKR1A1	4.664679843	4.625932833
AKR1B1	3.565191766	3.914147628
AKR1B10	2.676059032	0.405862734
AKR1B15	0.692504889	0
AKR1C1	1.774967335	2.322184398
AKR1C2	3.767701513	3.491869805
AKR1C3	3.066462004	1.796826116
AKR1E2	1.650894749	0.438785052
AKR7A2	4.112851746	4.006700941
AKR7A3	2.20098511	2.056428961
AKR7L	0.618651128	0.355947506
AKT1	4.1993533	3.719061524
AKT1S1	3.61151379	3.719020245
AKT2	3.019258207	2.57137316
AKT3	0.853973088	0.695328
AKTIP	3.480809426	2.871173301
ALAD	3.365416072	2.963590663
ALAS1	3.263038865	3.907298713
ALCAM	3.62324854	4.421930065
ALDH16A1	3.412921399	2.891485848
ALDH18A1	3.848560213	3.838424039
ALDH1A1	2.451498866	4.140383896
ALDH1A2	2.261379716	1.917861022
ALDH1A3	2.861801661	1.050032287
ALDH1B1	4.888474499	3.150711419
ALDH1L1	1.948821529	0.247243072
ALDH1L1-AS1	3.921183807	0.291552632
ALDH1L1-AS2	0.407496948	0.193474003
ALDH1L2	1.493351138	0.895756654
ALDH2	3.347653748	2.52709105
ALDH3A1	2.01122515	1.310572069
ALDH3A2	3.10181992	2.702921626
ALDH3B1	3.03512422	3.333479669
ALDH3B2	2.733716241	1.413316333
ALDH4A1	3.041006682	3.427947608
ALDH5A1	1.950071087	1.122744077
ALDH6A1	2.344947313	2.420359735
ALDH7A1	2.378850635	1.58197366
ALDH8A1	0.819152003	0.230153609
ALDH9A1	3.368414632	3.698738906
ALDOA	1.246010186	2.592460056
ALDOB	0	0.073047753
ALDOC	3.267736212	3.445388734
ALG1	2.095753433	2.179673308
ALG10	0.844761285	1.36657973
ALG10B	1.133233356	0.768389156
ALG11	0.355314815	0.752364137
ALG12	3.018708309	2.446368427
ALG13	2.220148566	2.217463028
ALG14	1.321255976	0.959757471
ALG1L13P	0.894262873	0.929579854
ALG1L2	0.501490614	0.401066484
ALG1L8P	1.843870187	1.080583563
ALG1L9P	0.521886526	0.145637742
ALG2	3.294507524	3.384034483
ALG3	3.517261754	3.301746996
ALG5	1.562495155	1.617963894
ALG6	1.998620768	1.966657077
ALG8	1.945372671	1.912060096
ALG9	1.052982846	0.880224233
ALKAL1	3.541419965	0.328785406
ALKAL2	0.817070565	1.173885485
ALKBH1	2.10413919	2.36201848
ALKBH2	2.980326642	2.169236039
ALKBH3	2.937580881	2.727551939
ALKBH4	2.976603751	2.250594197
ALKBH5	4.68744776	4.085232081
ALKBH6	0.439670617	0.187926925
ALKBH7	4.629146944	4.588118003
ALKBH8	2.032080546	1.463113169
ALMS1	1.169552541	1.088767449
ALMS1-IT1	0.656187415	0.648964855
ALMS1P1	0.326799359	0.857072971
ALOX12	0.967459611	2.07664449
ALOX12-AS1	0.928033322	0.872974723
ALOX12B	0.594708346	0.43093616
ALOX12P2	1.081143177	0.993363657
ALOX15	0.07912695	0.673374932
ALOX15B	1.942226141	3.969878296
ALOX15P1	0.627768431	0.222706738
ALOX5	1.547797726	4.30689392
ALOX5AP	2.623401289	3.830428836
ALOXE3	0.442215731	0
ALPK1	2.032021907	2.099818977
ALPK2	0.244510569	0.555227806
ALPK3	2.351310681	2.011289327
ALPL	2.827899949	1.27571581
ALPP	0	2.841318651
ALS2	0.956266248	0.856581955
ALS2CL	2.84273896	2.110233533
ALX3	1.510387282	0.853353755
ALYREF	4.594670633	4.487888201
AMACR	0.417295351	0.549542027
AMBRA1	2.202862593	1.822288508
AMD1	2.73384291	3.194940491
AMDHD1	0.351114986	1.044054607
AMDHD2	2.916182227	3.063232745
AMER1	1.00854894	1.711934402
AMFR	3.641611424	4.060703767
AMH	1.060074682	0
AMIGO1	2.418217997	1.783239868
AMIGO2	3.736412234	2.993592647
AMMECR1	2.235301001	2.174695937
AMMECR1L	2.596517125	2.698355293
AMN	3.710156642	3.014711332
AMN1	2.356804728	1.153461951
AMOT	0.778724254	0.099119187
AMOTL1	3.695054776	1.070655038
AMOTL2	2.698715513	2.218829893
AMPD2	3.08852068	2.947142055
AMPD3	1.375236111	3.390451965
AMPH	0.72609443	0.238619869
AMY2B	1.817489283	1.361704122
AMZ1	0.104130938	1.202492278
AMZ2	3.296995593	3.460181439
AMZ2P1	2.273242586	1.909751474
ANAPC1	1.408852754	1.814992597
ANAPC10	1.391789979	1.546822116
ANAPC11	3.960648802	3.904702502
ANAPC13	4.042899573	3.995793955
ANAPC15	3.296655962	2.139034733
ANAPC16	4.286648099	3.713379277
ANAPC2	3.582152602	2.952760985
ANAPC4	2.761117575	2.422478126
ANAPC5	3.183732638	2.931847158
ANAPC7	2.893506462	2.59579165
ANG	2.47260745	2.152581634
ANGEL1	2.011618889	2.859850942
ANGEL2	2.410428516	2.256719561
ANGPT1	1.029549479	1.024156205
ANGPT2	1.193553008	1.241371955
ANGPT4	0.213302547	0.224916959
ANGPTL1	2.707455192	0
ANGPTL2	4.655219337	2.007884525
ANGPTL4	2.430703167	4.531132998
ANGPTL6	2.734201731	2.905849838
ANGPTL8	1.486271204	1.297730801
ANK1	1.157721484	0.71356333
ANK2	1.303228358	0.128256492
ANK3	0.945974253	1.497073488
ANKAR	0.887416312	0.613989627
ANKDD1A	2.648496627	1.385771716
ANKDD1B	0.07248147	0.03909793
ANKEF1	0.9245053	1.464878649
ANKFN1	0	0
ANKFY1	2.330585596	2.594218518
ANKH	2.63787402	2.872780791
ANKHD1	0.355020178	0.306781788
ANKHD1-EIF4EBP3	0.199233987	0.199573925
ANKIB1	2.897889881	3.212599316
ANKK1	0.193816708	0.334356717
ANKLE1	0.075239864	0.286366469
ANKLE2	2.418608703	2.739987786
ANKMY1	1.670204561	1.899719515
ANKMY2	2.76744437	3.346236943
ANKRA2	2.908228752	2.878324725
ANKRD10	4.538999159	4.198934882
ANKRD10-IT1	3.08725596	3.738848531
ANKRD11	2.701141317	2.711040991
ANKRD12	2.178495226	2.504068198
ANKRD13A	3.071991267	3.033208988
ANKRD13B	2.356227768	1.985849781
ANKRD13C	2.197785414	2.391249213
ANKRD13D	4.404889461	3.364798872
ANKRD16	2.163485394	1.843341206
ANKRD17	2.569149965	2.880156634
ANKRD18A	0.964558127	0
ANKRD18B	0.805598652	0
ANKRD18EP	0.613938489	1.337668493
ANKRD19P	0.896184043	0.163403347
ANKRD20A11P	0.542312577	1.280046195
ANKRD20A5P	0.084808735	1.228970677
ANKRD22	2.57884198	2.345846015
ANKRD23	1.990808077	1.624131765
ANKRD24	2.607176635	0.487479582
ANKRD26	0.924863824	0.952525039
ANKRD27	2.60323003	2.068970711
ANKRD28	2.195981449	2.759875486
ANKRD29	1.283064957	1.447005363
ANKRD31	0.101507814	0
ANKRD33B	1.060682504	0.23517272
ANKRD34A	1.837373103	0.248477024
ANKRD34B	0	0
ANKRD35	3.306469148	0.654257965
ANKRD36	1.07425836	0.871123748
ANKRD36B	0.44215239	0.892778226
ANKRD36BP1	1.058215058	2.981078312
ANKRD36BP2	0.114558065	0.378337385
ANKRD36C	0.329541744	0.649405927
ANKRD37	3.11524194	2.724426788
ANKRD39	1.304193212	0.806792081
ANKRD40	3.659494716	3.092681616
ANKRD42	1.745737111	1.75384356
ANKRD44	1.574221662	1.937252294
ANKRD44-AS1	0	0.833105121
ANKRD46	2.081963904	1.61766102
ANKRD49	2.462147519	2.523793392
ANKRD50	3.493156647	3.815247159
ANKRD52	2.389034028	2.654990036
ANKRD53	1.309684241	0.719840974
ANKRD54	3.035961277	2.497612221
ANKRD6	2.787227932	1.991536952
ANKRD65	3.996843008	3.298489922
ANKRD9	3.350931792	2.949733234
ANKS1A	3.383930354	2.77507378
ANKS1B	1.035572262	0.747075984
ANKS3	2.818748949	1.840848404
ANKS6	2.177068845	2.156984351
ANKUB1	1.070831458	1.600569225
ANKZF1	2.777585644	2.477145815
ANLN	2.655402706	2.781632844
ANO1	4.191205824	1.226038261
ANO1-AS1	5.047005234	2.223928169
ANO10	2.992956533	3.001568109
ANO2	0.48502607	0.268071574
ANO3	0.035153069	0.173760624
ANO5	1.421425744	1.117834252
ANO6	3.401497585	3.436734384
ANO7	0.430927502	0.546555676
ANO7L1	1.061940283	1.195248644
ANO8	3.281080928	2.680721649
ANO9	2.221647336	1.433538297
ANOS1	1.731102693	1.623950149
ANOS2P	0.365811324	0
ANP32A	3.398175284	3.634516411
ANP32B	5.107174427	5.156794307
ANP32E	3.886348029	3.847497558
ANPEP	0.5414561	4.700436982
ANTKMT	4.124310452	3.46407581
ANTXR1	4.132231443	2.493551372
ANTXR2	4.127435249	2.491331389
ANXA1	4.90432342	5.67014225
ANXA10	0.474746443	3.095998614
ANXA11	4.374244559	4.335029336
ANXA2	5.179885922	5.40856629
ANXA2P2	2.126136571	2.411601254
ANXA2R	1.557130285	1.729016991
ANXA3	2.376873067	0
ANXA4	2.664766618	2.997354378
ANXA5	5.785116102	5.775611239
ANXA6	5.291992349	3.909012439
ANXA7	4.821668995	4.559485363
ANXA8	3.846222076	2.864431757
ANXA8L1	3.944659963	2.816822861
ANXA9	2.153028923	2.569879602
AOAH	1.009439365	2.991813681
AOC1	0.199663313	0.485600546
AOC2	0.83389002	0.662373448
AOC3	5.902161711	1.910263527
AOPEP	3.528040833	1.534940496
AOX1	2.790238182	0.026975975
AP1AR	2.083473012	2.618405282
AP1B1	3.741052722	4.295237124
AP1G1	2.3621625	2.932978163
AP1G2	3.579521232	3.383080448
AP1M1	2.571125989	2.38563409
AP1M2	3.226276519	3.260219848
AP1S1	4.04261713	4.5954943
AP1S2	2.601605678	3.420874431
AP1S3	2.051105525	1.376248597
AP2A1	3.755380807	3.416736745
AP2A2	2.922811028	2.92915768
AP2B1	3.835937409	4.017882057
AP2M1	5.422743888	5.032676729
AP2S1	5.04997922	5.080717872
AP3B1	2.854702411	3.285471905
AP3B2	0.783197027	0.040181332
AP3D1	3.910229811	3.711476274
AP3M1	2.766176363	3.302296411
AP3M2	2.128099245	2.082425301
AP3S1	4.091745777	4.062510696
AP3S2	1.936277601	1.252267946
AP4B1	2.190731417	1.927089609
AP4B1-AS1	2.380569529	1.989638046
AP4E1	1.894713323	1.959371791
AP4M1	3.815185918	3.106097386
AP4S1	1.676267916	1.449079849
AP5B1	2.523110096	3.648198811
AP5M1	2.187778206	2.217123454
AP5S1	1.857734925	1.747703032
AP5Z1	3.110692647	2.859449153
APAF1	1.610993361	2.26357762
APBA1	0.320370086	0.458387696
APBA2	1.46541033	0.597925702
APBA3	2.232472103	2.293378391
APBB1	3.420010003	1.318080109
APBB1IP	1.622154945	4.098972037
APBB2	2.110731373	1.583209468
APBB3	3.244592238	2.653114402
APC	1.743825994	2.143251336
APC2	1.060299299	0.780458936
APCDD1	3.921741787	1.560734056
APCDD1L	3.038480226	0.131508443
APEH	3.724038421	4.037075518
APEX1	4.986579028	4.754804319
APEX2	2.986376666	2.73643242
APH1A	3.870723802	4.718860832
APH1B	1.747383481	2.65954048
API5	3.878287915	3.892998256
APIP	2.237108242	2.383157057
APLF	0.837880617	0.970928653
APLN	1.903496884	2.174761171
